Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Name
2023-09-20 00:00:00-04:00,63.106066845126854,63.67563005107689,62.005548646199294,62.02485275268555,6735500,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-21 00:00:00-04:00,62.19862287672382,62.3530778333196,60.37407905059973,60.39338684082031,10259900,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-22 00:00:00-04:00,60.972609498706774,61.378065752652134,60.39339048745302,60.71195983886719,7146300,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-25 00:00:00-04:00,60.480267106663916,61.146369265166705,60.364420370988796,60.97260284423828,6234000,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-26 00:00:00-04:00,60.35476917823474,61.4070197721567,60.32580933519516,60.96295166015625,6196300,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-27 00:00:00-04:00,62.26619190742195,63.627363358818386,61.92831481971763,63.328094482421875,11679100,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-28 00:00:00-04:00,62.89369360043182,64.06178738236976,62.85507801691699,63.59840774536133,9156800,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-09-29 00:00:00-04:00,63.66597656745512,63.76251919880694,62.565458329596346,62.633033752441406,10063300,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-02 00:00:00-04:00,62.74887608791585,62.81645150601919,59.55350891832402,60.14238357543945,10859900,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-03 00:00:00-04:00,59.814160801936424,60.6154174791827,59.572818961693706,60.296844482421875,7765900,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-04 00:00:00-04:00,59.38939841483438,59.447321780200156,57.28489734680478,57.960655212402344,15878800,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-05 00:00:00-04:00,57.6324269225718,58.18268597346009,57.05320434934252,57.36212158203125,10278000,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-06 00:00:00-04:00,57.7289658123167,59.79485131699126,57.6324305519911,59.273555755615234,12539400,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-09 00:00:00-04:00,61.358748678533665,62.16965738116043,60.4416489806392,61.957275390625,17276600,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-10 00:00:00-04:00,61.72558654040805,62.15034684528615,61.32013402428589,61.76420211791992,7885600,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-11 00:00:00-04:00,61.11740922231645,61.67732037924153,60.731260803166265,61.15602111816406,11481200,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-12 00:00:00-04:00,61.55182077914007,61.67731956609696,60.54784153123756,61.03052520751953,8634600,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-13 00:00:00-04:00,62.1213898217291,62.52684235624559,61.55182291663381,62.14070129394531,15373900,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-16 00:00:00-04:00,62.35307115260216,63.25086304745244,61.90900307286101,63.10606384277344,8005600,0.0,0.0,OXY,Occidental Petroleum Corporation
2023-10-17 00:00:00-04:00,62.76817774188691,63.41497942151719,62.739217901712166,63.26051712036133,7290600,0.0,0.0,OXY,Occidental Petroleum Corporation
