Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name
2023-09-26 00:00:00-04:00,,,,,0,0.332,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-09-27 00:00:00-04:00,45.65506362915039,45.82527749811989,44.936385654731616,45.106599523701114,482300,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-09-28 00:00:00-04:00,45.72125244140625,45.967118494789084,45.39973779203334,45.56049692036759,541500,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-09-29 00:00:00-04:00,44.85127258300781,45.749622633577246,44.69997178766,45.749622633577246,697800,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-02 00:00:00-04:00,43.9434700012207,44.82290704529401,43.61249701488482,44.7945356647365,895800,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-03 00:00:00-04:00,43.86781692504883,43.952923850440015,43.42336924719534,43.65977697247135,1030100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-04 00:00:00-04:00,42.458824157714844,43.29097666044049,42.09948344540887,43.26260889091206,869600,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-05 00:00:00-04:00,42.26970672607422,42.610134465694856,41.96710509247721,41.976559815335115,587100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-06 00:00:00-04:00,42.55339050292969,42.941099027664556,41.8157995552135,42.279156676159865,760100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-09 00:00:00-04:00,44.00020217895508,44.15150297026022,43.39499901373452,43.716513646169865,490700,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-10 00:00:00-04:00,44.06639862060547,44.3784585499821,43.80162312219786,44.01911779693205,615400,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-11 00:00:00-04:00,43.62195587158203,43.64086892308381,43.05457514841588,43.508477562571365,430500,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-12 00:00:00-04:00,43.65032196044922,44.04748881206596,43.40445951500692,44.04748881206596,364100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-13 00:00:00-04:00,44.54867935180664,44.77562878376734,44.16097076551895,44.2839038120871,548800,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-16 00:00:00-04:00,44.85127258300781,44.93637950584693,44.39737019696437,44.81344648234698,318100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-17 00:00:00-04:00,45.33354568481445,45.44702399416611,44.690516361004676,44.690516361004676,439300,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-18 00:00:00-04:00,45.65506362915039,45.86310360395667,45.38083338007375,45.4659403145585,619400,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-19 00:00:00-04:00,45.56049728393555,45.91983803781879,45.097136553352236,45.48484508004618,955800,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-20 00:00:00-04:00,44.72834014892578,45.541583287372795,44.58649768052176,45.390282490031176,754100,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-23 00:00:00-04:00,44.00966262817383,44.46356502396108,43.829990449825665,44.378458099294996,584000,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-24 00:00:00-04:00,43.43282699584961,44.16096321284427,43.43282699584961,44.1515048838741,509700,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-25 00:00:00-04:00,43.33826446533203,43.66923382662157,43.13967924126282,43.47065220984785,728500,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
2023-10-26 00:00:00-04:00,43.092403411865234,43.26261727661921,42.61958792250328,43.026209531938235,665200,0.0,0.0,0.0,IYE,iShares U.S. Energy ETF
