Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Ticker,Name
2024-02-14 00:00:00-05:00,79.33691128215773,79.58250917404892,78.26951642415433,78.68514251708984,20447300,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-15 00:00:00-05:00,78.66623585804119,81.10330400802755,78.60011418916814,80.87660217285156,21682200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-16 00:00:00-05:00,81.20720978433957,81.47169645744484,80.5932187465044,80.8293685913086,13480400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-20 00:00:00-05:00,80.91439446951624,80.96162011922237,79.98868381326686,80.09259033203125,14497800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-21 00:00:00-05:00,80.43265191675967,81.67007500253793,80.3759710440389,81.5945053100586,14372900,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-22 00:00:00-05:00,81.07497405112531,82.0762471808452,80.6876848100996,81.73619079589844,17603400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-23 00:00:00-05:00,80.9427304803888,81.46225586222363,80.42319789183199,81.19776916503906,14476200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-26 00:00:00-05:00,81.10331415180941,82.01957682559328,80.69713607601005,81.48115539550781,11688200,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-27 00:00:00-05:00,81.55671206730658,81.90621645399904,80.71601914351291,81.13164520263672,13158700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-28 00:00:00-05:00,81.23554838542006,81.84953943665417,80.64989416310543,80.97106170654297,13339800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-02-29 00:00:00-05:00,81.14108838827738,81.63227689616055,80.91438655438678,81.36779022216797,13667700,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-01 00:00:00-05:00,81.95345559808555,82.6902420636425,81.81176423008098,82.3124008178711,16229800,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-04 00:00:00-05:00,82.26516677733765,82.48242783271856,81.35835212455216,81.43392181396484,16599000,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-05 00:00:00-05:00,81.3111213812736,82.56744036386904,81.20721486651928,82.03845977783203,16087100,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-06 00:00:00-05:00,82.72802533905069,83.16254024108967,82.1140342271635,82.29351043701172,14004400,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-07 00:00:00-05:00,82.4068536834013,83.45535964540929,82.34073201042429,82.99250793457031,12284600,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
2024-03-08 00:00:00-05:00,82.87916126673954,83.30423538195245,82.67134821575401,83.28533935546875,14126000,0.0,0.0,0.0,XLE,Energy Select Sector SPDR Fund
